PN_Date,CN_Date,Pick_Note,Credit_Note,Key,Vendor,PN_Qty,CN_Qty,WS_Code,Batch,Original_PN_Qty,Original_CN_Qty
2024-11-23,2024-11-25,PR201008895,DN201006195,322_11299_SIF1190A,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,11299,SIF1190A,1,1.0
2024-11-20,2024-11-22,PR201008882,DN201006163,322_11303_SIF1510A,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,11303,SIF1510A,1,1.0
2024-11-16,2024-11-19,PR201008755,DN201006186,322_1178_FHA0249,AHMEDABAD MEDICAL CORPORATION,6.0,6.0,1178,FHA0249,6,6.0
2024-12-28,2024-12-28,PR201009347,DN201006646,322_13460_SIF1920A,AHMEDABAD MEDICAL CORPORATION,6.0,6.0,13460,SIF1920A,6,6.0
2024-11-14,2024-11-29,PR201008648,DN201006548,322_13492_BA31427,AHMEDABAD MEDICAL CORPORATION,5.0,5.0,13492,BA31427,5,5.0
2024-11-16,2024-11-19,PR201008755,DN201006186,322_13492_BA31427,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,13492,BA31427,1,1.0
2024-11-20,2024-11-27,PR201008826,DN201006449,322_13492_BA31427,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,13492,BA31427,1,1.0
2024-12-12,2024-12-23,PR201009041,DN301006668,322_13492_BA31427,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,13492,BA31427,1,1.0
2024-11-14,2024-11-29,PR201008648,DN201006548,322_13492_BA31429,AHMEDABAD MEDICAL CORPORATION,7.0,7.0,13492,BA31429,7,7.0
2024-11-16,2024-11-19,PR201008755,DN201006186,322_13492_BA31429,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,13492,BA31429,1,1.0
2024-11-20,2024-11-27,PR201008840,DN301006893,322_13492_BA31429,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,13492,BA31429,1,1.0
2024-11-14,2024-11-29,PR201008648,DN201006548,322_14173_GH20837,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,14173,GH20837,2,2.0
2024-10-03,2024-10-04,PR201008027,DN201005622,322_1473_GKF0018A,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,1473,GKF0018A,1,1.0
2024-10-10,2024-10-17,PR201008248,DN201005922,322_15452_Z12214,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,15452,Z12214,2,2.0
2024-12-12,2024-12-23,PR201009041,DN301006668,322_15624_ZGA0010,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,15624,ZGA0010,2,2.0
2024-12-12,2024-12-23,PR201009041,DN301006668,322_16404_PGA0046,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,16404,PGA0046,3,3.0
2024-12-17,2024-12-23,PR201009170,DN301006668,322_16404_PGA0046,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,16404,PGA0046,2,3.0
2024-12-18,2024-12-23,PR201009216,DN301006785,322_16404_PGA0046,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,16404,PGA0046,2,2.0
2024-12-17,2024-12-23,PR201009170,DN301006785,322_16939_23S2GCA661,AHMEDABAD MEDICAL CORPORATION,5.0,5.0,16939,23S2GCA661,5,5.0
2024-12-05,2024-12-05,PR201008973,DN201006387,322_1712_ASA1014,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,1712,ASA1014,1,1.0
2024-12-17,2024-12-23,PR201009170,DN301006785,322_17194_PGA0048,AHMEDABAD MEDICAL CORPORATION,6.0,6.0,17194,PGA0048,6,6.0
2024-11-22,2024-11-23,PR201008888,DN201006171,322_17553_GKF1286A,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,17553,GKF1286A,2,2.0
2024-12-12,2024-12-23,PR201009041,DN301006668,322_1765_SA30398,AHMEDABAD MEDICAL CORPORATION,5.0,5.0,1765,SA30398,5,5.0
2024-12-06,2024-12-09,PR201008994,DN301006786,322_18072_D083,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,18072,D083,2,2.0
2024-10-06,2024-10-09,PR201008155,DN201005753,322_18800_EMV221441,AHMEDABAD MEDICAL CORPORATION,6.0,6.0,18800,EMV221441,6,6.0
2024-11-16,2024-11-19,PR201008755,DN201006186,322_18800_EMV221441,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,18800,EMV221441,1,1.0
2024-10-10,2024-10-17,PR201008248,DN201005922,322_18800_EMV221796A,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,18800,EMV221796A,2,2.0
2024-11-19,2024-11-20,PR201008824,DN201006148,322_19002_LAB0035,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,19002,LAB0035,1,1.0
2024-10-23,2024-10-24,PR201008455,DN201005849,322_19166_PABJQ15,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,19166,PABJQ15,1,1.0
2024-12-12,2024-12-23,PR201009041,DN301006668,322_19231_CACS0032,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,19231,CACS0032,2,2.0
2024-11-20,2024-11-22,PR201008880,DN201006165,322_19919_GTF2880A,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,19919,GTF2880A,1,1.0
2024-12-12,2024-12-23,PR201009041,DN301006668,322_1998_ARZ0028,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,1998,ARZ0028,1,1.0
2024-10-09,2024-10-09,PR201008238,DN201005695,322_20014_NUGY0020,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,20014,NUGY0020,1,1.0
2024-12-06,2024-12-07,PR201009003,DN201006415,322_23127_BRA1180,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,23127,BRA1180,1,1.0
2024-12-06,2024-12-09,PR201008994,DN301006786,322_23177_PGT240007,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,23177,PGT240007,2,2.0
2024-10-07,2024-10-07,PR201008220,DN201005672,322_23652_AXB0085,AHMEDABAD MEDICAL CORPORATION,33.0,33.0,23652,AXB0085,33,33.0
2024-10-07,2024-10-07,PR201008220,DN201005672,322_23652_AXB0108,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,23652,AXB0108,2,2.0
2024-12-28,2024-12-28,PR201009347,DN201006646,322_26772_BXK2VN1,AHMEDABAD MEDICAL CORPORATION,2.0,2.0,26772,BXK2VN1,2,2.0
2024-10-10,2024-10-17,PR201008248,DN201005922,322_3026_KFZ0523,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,3026,KFZ0523,1,1.0
2024-10-17,2024-10-19,PR201008363,DN201005756,322_3302_I402833,AHMEDABAD MEDICAL CORPORATION,1.0,1.0,3302,I402833,1,1.0
