,Pick_Note_Date,Credit_Note_Date,Pick_Note,Credit_Note,Key,Vendor,PN_Quantity,CN_Quantity,WS_Code,Batch
3,2024-10-01,2024-10-02,PR201008006,DN201005606,399_1798_2283K004,SHAH KOTHARI BROS,1,1,1798,2283K004
19,2024-10-02,2024-10-02,PR201008015,DN201005602,399_20087_MT242197,SHAH KOTHARI BROS,1,1,20087,MT242197
29,2024-10-03,2024-10-19,PR201008031,DN201006286,399_23424_24250065,SHAH KOTHARI BROS,6,6,23424,24250065
30,2024-10-03,2024-10-18,PR201008029,DN201006243,399_23505_BIUB23035,SHAH KOTHARI BROS,1,1,23505,BIUB23035
31,2024-10-03,2024-10-19,PR201008031,DN201006274,399_2842_WM009,SHAH KOTHARI BROS,1,1,2842,WM009
32,2024-10-03,2024-10-19,PR201008030,DN201006264,399_3783_SPH231345,SHAH KOTHARI BROS,1,1,3783,SPH231345
33,2024-10-03,2024-10-18,PR201008029,DN201006254,399_3653_SIE2418A,SHAH KOTHARI BROS,2,2,3653,SIE2418A
34,2024-10-03,2024-10-19,PR201008031,DN201006279,399_23262_BH500,SHAH KOTHARI BROS,27,27,23262,BH500
35,2024-10-03,2024-10-18,PR201008029,DN201006235,399_4220_T241189,SHAH KOTHARI BROS,3,3,4220,T241189
36,2024-10-03,2024-10-18,PR201008029,DN201006253,399_318_PVMAG19,SHAH KOTHARI BROS,4,4,318,PVMAG19
37,2024-10-03,2024-10-19,PR201008030,DN201006261,399_23054_GTF1455A,SHAH KOTHARI BROS,15,15,23054,GTF1455A
38,2024-10-03,2024-10-19,PR201008031,DN201006278,399_2095_CACY23002,SHAH KOTHARI BROS,2,2,2095,CACY23002
39,2024-10-03,2024-10-19,PR201008031,DN201006183,399_20225_KPN2309A,SHAH KOTHARI BROS,1,1,20225,KPN2309A
40,2024-10-03,2024-10-18,PR201008029,DN201006234,399_20174_GATV23003,SHAH KOTHARI BROS,2,2,20174,GATV23003
41,2024-10-03,2024-10-18,PR201008029,DN201006255,399_20150_EMV240232A,SHAH KOTHARI BROS,7,7,20150,EMV240232A
42,2024-10-03,2024-10-19,PR201008031,DN201006273,399_20094_SXE2196A,SHAH KOTHARI BROS,2,2,20094,SXE2196A
43,2024-10-03,2024-10-18,PR201008029,DN201006233,399_19818_GGMN22002,SHAH KOTHARI BROS,1,1,19818,GGMN22002
44,2024-10-03,2024-10-18,PR201008029,DN201006177,399_19818_AGMN23001,SHAH KOTHARI BROS,2,2,19818,AGMN23001
45,2024-10-03,2024-10-19,PR201008031,DN201006282,399_4227_FA3803002,SHAH KOTHARI BROS,4,2,4227,FA3803002
46,2024-10-03,2024-10-19,PR201008031,DN201006284,399_223_3CAS024,SHAH KOTHARI BROS,1,1,223,3CAS024
47,2024-10-03,2024-10-18,PR201008029,DN201006252,399_5153_AFTL24008,SHAH KOTHARI BROS,1,1,5153,AFTL24008
48,2024-10-03,2024-10-19,PR201008030,DN201006259,399_7780_KAJ2401A,SHAH KOTHARI BROS,11,11,7780,KAJ2401A
49,2024-10-03,2024-10-19,PR201008030,DN201006262,399_5704_2308001188,SHAH KOTHARI BROS,1,1,5704,2308001188
52,2024-10-03,2024-10-18,PR201008029,DN201006251,399_994_23S2GCA995,SHAH KOTHARI BROS,5,5,994,23S2GCA995
53,2024-10-03,2024-10-19,PR201008030,DN201006263,399_8383_MFE23002,SHAH KOTHARI BROS,4,4,8383,MFE23002
54,2024-10-03,2024-10-19,PR201008031,DN201006288,399_809_22SAR396,SHAH KOTHARI BROS,7,7,809,22SAR396
55,2024-10-03,2024-10-19,PR201008031,DN201006289,399_19765_OND23249SR,SHAH KOTHARI BROS,5,5,19765,OND23249SR
56,2024-10-03,2024-10-18,PR201008029,DN201006238,399_7690_LGCC23004,SHAH KOTHARI BROS,1,1,7690,LGCC23004
57,2024-10-03,2024-10-19,PR201008031,DN201006285,399_7664_ELLG2368A,SHAH KOTHARI BROS,2,2,7664,ELLG2368A
58,2024-10-03,2024-10-18,PR201008029,DN201006232,399_5310_24S2GTA001,SHAH KOTHARI BROS,2,2,5310,24S2GTA001
59,2024-10-03,2024-10-19,PR201008030,DN201006265,399_7301_J304788,SHAH KOTHARI BROS,1,1,7301,J304788
60,2024-10-03,2024-10-18,PR201008029,DN201006250,399_6592_N2302959,SHAH KOTHARI BROS,2,2,6592,N2302959
61,2024-10-03,2024-10-19,PR201008031,DN201006292,399_6536_EB40020,SHAH KOTHARI BROS,20,4,6536,EB40020
62,2024-10-03,2024-10-19,PR201008030,DN201006260,399_6347_RGA0165,SHAH KOTHARI BROS,1,1,6347,RGA0165
63,2024-10-03,2024-10-18,PR201008029,DN201006248,399_6262_FJA0037,SHAH KOTHARI BROS,2,2,6262,FJA0037
64,2024-10-03,2024-10-19,PR201008031,DN201006287,399_6123_M4062,SHAH KOTHARI BROS,2,2,6123,M4062
65,2024-10-03,2024-10-19,PR201008030,DN201006268,399_6047_24S2HTA247,SHAH KOTHARI BROS,2,2,6047,24S2HTA247
66,2024-10-03,2024-10-19,PR201008031,DN201006281,399_6041_W21381,SHAH KOTHARI BROS,1,1,6041,W21381
67,2024-10-03,2024-10-04,PR201008024,DN201005621,399_5880_MET240529,SHAH KOTHARI BROS,1,1,5880,MET240529
68,2024-10-03,2024-10-19,PR201008030,DN201006266,399_6919_GKE1355A,SHAH KOTHARI BROS,6,6,6919,GKE1355A
69,2024-10-03,2024-10-18,PR201008029,DN201006242,399_19432_AA035,SHAH KOTHARI BROS,1,1,19432,AA035
70,2024-10-03,2024-10-19,PR201008031,DN201006291,399_3897_ZF3004,SHAH KOTHARI BROS,1,1,3897,ZF3004
71,2024-10-03,2024-10-18,PR201008029,DN201006246,399_18610_23I1834,SHAH KOTHARI BROS,1,1,18610,23I1834
72,2024-10-03,2024-10-19,PR201008031,DN201006290,399_18857_BSSL23005,SHAH KOTHARI BROS,1,1,18857,BSSL23005
80,2024-10-03,2024-10-19,PR201008030,DN201006272,399_10106_PST23043,SHAH KOTHARI BROS,11,11,10106,PST23043
81,2024-10-03,2024-10-19,PR201008030,DN201006182,399_10303_PR240202,SHAH KOTHARI BROS,1,1,10303,PR240202
82,2024-10-03,2024-10-15,PR201008029,DN201006231,399_11536_GKF0480A,SHAH KOTHARI BROS,5,5,11536,GKF0480A
83,2024-10-03,2024-10-19,PR201008031,DN201006275,399_12185_SC3013,SHAH KOTHARI BROS,1,1,12185,SC3013
84,2024-10-03,2024-10-19,PR201008031,DN201006275,399_12185_SC3016,SHAH KOTHARI BROS,7,7,12185,SC3016
85,2024-10-03,2024-10-19,PR201008031,DN201006277,399_12228_SBL2210,SHAH KOTHARI BROS,2,2,12228,SBL2210
87,2024-10-03,2024-10-19,PR201008031,DN201006276,399_12836_L1523559,SHAH KOTHARI BROS,1,1,12836,L1523559
88,2024-10-03,2024-10-19,PR201008030,DN201006181,399_17149_S24109402C,SHAH KOTHARI BROS,1,1,17149,S24109402C
89,2024-10-03,2024-10-18,PR201008029,DN201006237,399_1247_K2300858,SHAH KOTHARI BROS,5,5,1247,K2300858
90,2024-10-03,2024-10-19,PR201008031,DN201006280,399_15916_TL23048,SHAH KOTHARI BROS,1,1,15916,TL23048
91,2024-10-03,2024-10-18,PR201008029,DN201006236,399_15815_A23152SU,SHAH KOTHARI BROS,8,8,15815,A23152SU
92,2024-10-03,2024-10-18,PR201008029,DN201006178,399_15037_OD34K019,SHAH KOTHARI BROS,3,3,15037,OD34K019
93,2024-10-03,2024-10-19,PR201008030,DN201006256,399_14281_N2400382,SHAH KOTHARI BROS,7,7,14281,N2400382
94,2024-10-03,2024-10-19,PR201008030,DN201006179,399_14756_TUA80,SHAH KOTHARI BROS,2,2,14756,TUA80
95,2024-10-03,2024-10-18,PR201008029,DN201006249,399_13826_JKGP23012,SHAH KOTHARI BROS,3,3,13826,JKGP23012
96,2024-10-03,2024-10-19,PR201008030,DN201006269,399_13718_GTF0534A,SHAH KOTHARI BROS,7,7,13718,GTF0534A
97,2024-10-03,2024-10-19,PR201008030,DN201006258,399_13592_GTE0932A,SHAH KOTHARI BROS,14,14,13592,GTE0932A
98,2024-10-03,2024-10-19,PR201008030,DN201006271,399_12963_UA00247,SHAH KOTHARI BROS,2,2,12963,UA00247
99,2024-10-03,2024-10-19,PR201008030,DN201006270,399_12963_U302895,SHAH KOTHARI BROS,1,1,12963,U302895
100,2024-10-03,2024-10-19,PR201008031,DN201006276,399_12836_L1524018,SHAH KOTHARI BROS,1,1,12836,L1524018
155,2024-10-04,2024-10-05,PR201008102,DN201005654,399_12223_SXF0465A,SHAH KOTHARI BROS,1,1,12223,SXF0465A
251,2024-10-05,2024-10-07,PR201008120,DN201005669,399_16020_CLB24003SH,SHAH KOTHARI BROS,1,1,16020,CLB24003SH
258,2024-10-06,2024-10-12,PR201008195,DN201006212,399_10965_G4AGV047,SHAH KOTHARI BROS,2,2,10965,G4AGV047
259,2024-10-06,2024-10-12,PR201008195,DN201006212,399_11077_G2AGV022,SHAH KOTHARI BROS,2,2,11077,G2AGV022
260,2024-10-06,2024-10-09,PR201008199,DN201006193,399_11239_RCD23001,SHAH KOTHARI BROS,3,3,11239,RCD23001
261,2024-10-06,2024-10-09,PR201008199,DN201006193,399_11378_SID2948A,SHAH KOTHARI BROS,2,2,11378,SID2948A
262,2024-10-06,2024-10-09,PR201008199,DN201006193,399_11380_NFA0100,SHAH KOTHARI BROS,1,1,11380,NFA0100
263,2024-10-06,2024-10-12,PR201008198,DN201006221,399_11384_GKD2267A,SHAH KOTHARI BROS,2,2,11384,GKD2267A
264,2024-10-06,2024-10-12,PR201008198,DN201006221,399_11467_K2201996,SHAH KOTHARI BROS,1,1,11467,K2201996
265,2024-10-06,2024-10-12,PR201008195,DN201006212,399_11540_GKD1907A,SHAH KOTHARI BROS,1,1,11540,GKD1907A
266,2024-10-06,2024-10-09,PR201008194,DN201006191,399_11647_SA21561,SHAH KOTHARI BROS,3,3,11647,SA21561
267,2024-10-06,2024-10-12,PR201008198,DN201006221,399_11751_SID1480A,SHAH KOTHARI BROS,2,2,11751,SID1480A
268,2024-10-06,2024-10-12,PR201008198,DN201006221,399_11788_CRICL0322,SHAH KOTHARI BROS,8,8,11788,CRICL0322
269,2024-10-06,2024-10-12,PR201008198,DN201006221,399_11791_BRIAL0722,SHAH KOTHARI BROS,1,1,11791,BRIAL0722
270,2024-10-06,2024-10-17,PR201008205,DN201006228,399_11929_B020164,SHAH KOTHARI BROS,1,1,11929,B020164
271,2024-10-06,2024-10-09,PR201008194,DN201006191,399_11932_21443907,SHAH KOTHARI BROS,1,1,11932,21443907
272,2024-10-06,2024-10-09,PR201008199,DN201006193,399_12142_8LV3K004,SHAH KOTHARI BROS,1,1,12142,8LV3K004
273,2024-10-06,2024-10-09,PR201008194,DN201006191,399_10631_SIC3219A,SHAH KOTHARI BROS,1,1,10631,SIC3219A
274,2024-10-06,2024-10-09,PR201008194,DN201006191,399_10597_K2202559,SHAH KOTHARI BROS,1,1,10597,K2202559
275,2024-10-06,2024-10-12,PR201008196,DN201006208,399_10592_N2103406,SHAH KOTHARI BROS,6,6,10592,N2103406
277,2024-10-06,2024-10-12,PR201008198,DN201006221,399_12285_V2101157,SHAH KOTHARI BROS,6,6,12285,V2101157
278,2024-10-06,2024-10-09,PR201008204,DN201006190,399_10057_SIC3270A,SHAH KOTHARI BROS,1,1,10057,SIC3270A
279,2024-10-06,2024-10-09,PR201008204,DN201006190,399_10057_SID0040A,SHAH KOTHARI BROS,2,2,10057,SID0040A
280,2024-10-06,2024-10-09,PR201008203,DN201006200,399_10078_GTD2548A,SHAH KOTHARI BROS,2,2,10078,GTD2548A
281,2024-10-06,2024-10-09,PR201008204,DN201006190,399_10088_GG10587,SHAH KOTHARI BROS,1,1,10088,GG10587
282,2024-10-06,2024-10-09,PR201008204,DN201006190,399_10088_GG20077,SHAH KOTHARI BROS,1,1,10088,GG20077
283,2024-10-06,2024-10-09,PR201008203,DN201006200,399_10191_A08332204,SHAH KOTHARI BROS,9,9,10191,A08332204
284,2024-10-06,2024-10-12,PR201008195,DN201006212,399_12493_GKD2309A,SHAH KOTHARI BROS,1,1,12493,GKD2309A
285,2024-10-06,2024-10-12,PR201008196,DN201006208,399_16775_VLT23004,SHAH KOTHARI BROS,10,10,16775,VLT23004
286,2024-10-06,2024-10-12,PR201008201,DN201006216,399_16935_XWZ0006,SHAH KOTHARI BROS,1,1,16935,XWZ0006
287,2024-10-06,2024-10-12,PR201008197,DN201006207,399_17255_GKE1612A,SHAH KOTHARI BROS,3,3,17255,GKE1612A
288,2024-10-06,2024-10-09,PR201008203,DN201006200,399_18784_23441979,SHAH KOTHARI BROS,3,3,18784,23441979
289,2024-10-06,2024-10-09,PR201008202,DN201006202,399_2018_N2103087,SHAH KOTHARI BROS,1,1,2018,N2103087
290,2024-10-06,2024-10-09,PR201008202,DN201006202,399_2054_GTD2726A,SHAH KOTHARI BROS,1,1,2054,GTD2726A
291,2024-10-06,2024-10-12,PR201008195,DN201006212,399_2555_N2103396,SHAH KOTHARI BROS,3,3,2555,N2103396
292,2024-10-06,2024-10-09,PR201008202,DN201006202,399_2557_N2103397,SHAH KOTHARI BROS,1,1,2557,N2103397
293,2024-10-06,2024-10-09,PR201008205,DN201006204,399_2702_UN22033GJ,SHAH KOTHARI BROS,3,3,2702,UN22033GJ
