"vendor_cn_date","debit_note_number","key","billed_quantity","month","vendor_name"
2024-09-01,DN201005468,"388_10098_GEO37697",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_10779_LIL1L00",20,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_10779_LIL1L00",5,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_11141_230330040",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_11681_220910719",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_12096_M221132",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_13068_220710519",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_13189_1220838",4,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_13316_220910771",6,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_13316_220910771",10,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_13316_220910771",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_13564_TT22132",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_13564_TT22135",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_13667_220910785",5,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_13667_220910785",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_14081_220910720",20,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_14088_2220317",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_14454_2220336",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_14662_220910784",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_14662_220910784",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_14664_220910741",8,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_15664_1220800",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_16770_230310179",4,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_16771_230310193",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_17148_220610416",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_1791_TT22041",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_1792_TT22119",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_18229_STC04I22",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_1907_74522040",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_19202_GB30361",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_19269_ADM22008",29,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_19269_ADM22008",33,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_19269_ADM22008",8,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_19419_AFB22J34",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_22_23047NAZIA",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005465,"388_235_SA22410",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_2400_SB21035",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_2400_SB21035",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_2588_J303489",6,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_2588_J303489",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_280_220910762",8,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_280_220910762",4,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_2812_2220309",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005465,"388_2912_BA21894",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_3512_220810637",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_3774_BA22559",2,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_3774_BA22559",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_3876_SN21345",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_3876_SN21620",6,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005468,"388_3876_SN21621",7,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_3876_SN21621",24,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_3876_SN21621",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_4704_220710510",4,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_4704_220910776",3,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_5125_T20047",5,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005462,"388_5134_SA22678",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005467,"388_5523_22S2HTA831",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005463,"388_5523_22S2HTA831",1,Sep-2024,PHARMA DISTRIBUTOR
2024-09-01,DN201005466,"388_565_SA12681",1,Sep-2024,PHARMA DISTRIBUTOR
