PN_Date,CN_Date,Pick_Note,Credit_Note,Key,Vendor,Original_PN_Qty,Original_CN_Qty,PN_Qty,CN_Qty,PN_Remaining,CN_Remaining,Remarks
,2024-09-13,,DN201005830,399_4294_GERT21007,SHAH KOTHARI BROS,0,1,0,1,0,1,CN Exceeds
,2024-10-02,,DN201006135,370_18661_H2HQV009,K B SHAH AND CO,0,1,0,1,0,1,CN Exceeds
2024-12-12,,PR201009066,,370_916_B520148,K B SHAH AND CO,3,0,3,0,3,0,PN Exceeds
2024-10-23,2024-11-20,PR201008425,DN201006580,386_5574_GFMVS2009,PARAS DISTRIBUTORS,3,3,3,3,0,0,Exact Match
,2024-09-25,,DN201005533,417_18172_ED403,VPD MEDI INDIA PRIVATE LIMITED,0,1,0,1,0,1,CN Exceeds
2024-10-06,2024-11-20,PR201008182,DN201006371,378_2639_RS13T995,MAHESH MEDICAL STORES,1,1,1,1,0,0,Exact Match
2024-11-14,2024-11-19,PR201008662,DN301006713,370_2914_SA30051,K B SHAH AND CO,4,4,4,4,0,0,Exact Match
,2024-09-11,,DN201005824,399_13672_2DD8H010,SHAH KOTHARI BROS,0,2,0,2,0,2,CN Exceeds
,2024-09-13,,DN201005839,399_13672_2DD8H010,SHAH KOTHARI BROS,0,3,0,3,0,3,CN Exceeds
2024-11-14,2024-11-19,PR201008703,DN201006525,399_8447_G22NOA015,SHAH KOTHARI BROS,2,2,2,2,0,0,Exact Match
2024-10-10,2024-11-08,PR201008261,DN201006406,370_3926_EGSC23020,K B SHAH AND CO,2,2,2,2,0,0,Exact Match
2024-10-30,2024-10-31,PR201008512,DN201006008,370_14608_GC994003,K B SHAH AND CO,7,7,7,7,0,0,Exact Match
2024-10-10,2024-10-01,PR201008307,DN201005947,400_12029_V2202220,SHAH MEDICAL STORE,1,1,1,1,0,0,Exact Match
,2024-11-01,,DN201006314,400_12029_V2202220,SHAH MEDICAL STORE,0,1,0,0,0,1,CN Exceeds
,2024-10-01,,DN201005995,388_3875_SN21817,PHARMA DISTRIBUTOR,0,2,0,2,0,2,CN Exceeds
,2025-01-01,,DN301006681,420_20395_SP241526,YASH ENTERPRISE,0,1,0,1,0,1,CN Exceeds
2024-10-10,2024-11-19,PR201008278,DN201006663,380_15968_PYEAB16,MAYUR MEDICAL AGENCY PRIVATE LIMITED,5,5,5,5,0,0,Exact Match
2024-11-16,2024-11-19,PR201008764,DN201006658,370_13055_B8HQV026,K B SHAH AND CO,2,2,2,2,0,0,Exact Match
2024-10-06,2024-10-11,PR201008168,DN201006309,370_1418_GKD2237A,K B SHAH AND CO,10,1,1,1,9,0,PN Exceeds
2024-10-06,2024-10-11,PR201008135,DN201006156,370_1418_GKD2237A,K B SHAH AND CO,1,10,10,10,0,0,Exact Match
2024-10-23,2024-11-08,PR201008413,DN201006377,370_1418_GKD2237A,K B SHAH AND CO,7,7,7,7,0,0,Exact Match
2024-11-07,2024-11-15,PR201008579,DN201006653,370_1418_GKD2237A,K B SHAH AND CO,2,2,2,2,0,0,Exact Match
2024-11-16,2024-11-19,PR201008769,DN201006659,370_9526_02220482,K B SHAH AND CO,6,6,6,6,0,0,Exact Match
2024-12-17,,PR201009186,,371_6418_TIM083,K.CHIMANLAL  CO,1,0,1,0,1,0,PN Exceeds
2024-10-23,,PR201008413,,370_4935_GTD2388A,K B SHAH AND CO,1,0,1,0,1,0,PN Exceeds
2024-11-07,,PR201008579,,370_4935_GTD2388A,K B SHAH AND CO,1,0,1,0,1,0,PN Exceeds
2024-10-10,2024-11-19,PR201008278,DN201006663,380_15030_D220541,MAYUR MEDICAL AGENCY PRIVATE LIMITED,1,1,1,1,0,0,Exact Match
2024-10-10,2024-11-08,PR201008260,DN201006521,370_15245_072K041,K B SHAH AND CO,4,4,4,4,0,0,Exact Match
2024-10-10,2024-10-17,PR201008304,DN201006229,399_9121_56TNL051,SHAH KOTHARI BROS,6,6,6,6,0,0,Exact Match
2024-10-23,2024-11-28,PR201008433,DN201006554,399_9121_56TNL051,SHAH KOTHARI BROS,1,1,1,1,0,0,Exact Match
2024-11-14,2024-11-30,PR201008706,DN201006573,399_9121_56TNL051,SHAH KOTHARI BROS,1,1,1,1,0,0,Exact Match
2024-12-17,,PR201009180,,370_7894_MZB23002,K B SHAH AND CO,15,0,15,0,15,0,PN Exceeds
2024-12-18,,PR201009231,,370_7894_MZB23002,K B SHAH AND CO,1,0,1,0,1,0,PN Exceeds
2024-10-25,2024-10-31,PR201008470,DN201006012,399_10805_ADK0035,SHAH KOTHARI BROS,1,1,1,1,0,0,Exact Match
,2024-11-20,,DN201006370,378_6341_SIE0455A,MAHESH MEDICAL STORES,0,1,0,1,0,1,CN Exceeds
2024-12-04,2024-12-05,PR201008969,DN201006393,375_5938_T240508,MAHENDRA MEDICINES,1,1,1,1,0,0,Exact Match
2024-12-12,2024-12-23,PR201009083,DN301006888,378_18133_SMAT2202,MAHESH MEDICAL STORES,1,1,1,1,0,0,Exact Match
,2024-09-16,,DN201005351,401_10499_P1502402,SHARDA MEDICAL AGENCY (E),0,6,0,6,0,6,CN Exceeds
2024-12-12,,PR201009102,,399_12451_V2300019,SHAH KOTHARI BROS,2,0,2,0,2,0,PN Exceeds
2024-12-06,,PR201008983,,404_19541_I400186,SHRIJI DISTRIBUTORS,2,0,2,0,2,0,PN Exceeds
2024-11-07,2024-11-22,PR201008603,DN201006531,399_14362_N2103433,SHAH KOTHARI BROS,12,1,1,1,11,0,PN Exceeds
2024-11-14,2024-11-28,PR201008700,DN201006560,399_14362_N2103433,SHAH KOTHARI BROS,1,12,12,12,0,0,Exact Match
2024-12-12,,PR201009108,,399_14362_N2103433,SHAH KOTHARI BROS,1,0,0,0,1,0,PN Exceeds
