"vendor_id","vendor_name","pick_note_number","date","key","ws_code","batch_number","quantity","month"
342,J.R.SHAH AND COMPANY,PR201008001,"01-10-2024","342_19316_O309",19316,O309,1,Oct-2024
356,ATUL MEDICAL AGENCY,PR201008005,"01-10-2024","356_4382_K2400513",4382,K2400513,1,Oct-2024
357,DHRUVI HEALTHCARE PVT LTD,PR201008007,"01-10-2024","357_1091_BASM036",1091,BASM036,1,Oct-2024
358,B K DISTRIBUTORS,PR201007997,"01-10-2024","358_23588_2C29L009",23588,"2C29L009",85,Oct-2024
359,D K PHARMA,PR201008003,"01-10-2024","359_5457_KGA2301A",5457,KGA2301A,1,Oct-2024
370,K B SHAH AND CO,PR201008000,"01-10-2024","370_13252_4HU11",13252,"4HU11",1,Oct-2024
370,K B SHAH AND CO,PR201008002,"01-10-2024","370_5637_EGLQ4001",5637,EGLQ4001,1,Oct-2024
371,K.CHIMANLAL  CO,PR201007996,"01-10-2024","371_14031_23CH0149",14031,"23CH0149",4,Oct-2024
371,K.CHIMANLAL  CO,PR201007996,"01-10-2024","371_20796_24S2GTA125",20796,"24S2GTA125",2,Oct-2024
386,PARAS DISTRIBUTORS,PR201008004,"01-10-2024","386_19628_18240717A",19628,"18240717A",1,Oct-2024
386,PARAS DISTRIBUTORS,PR201008004,"01-10-2024","386_9845_N23292",9845,N23292,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008006,"01-10-2024","399_1798_2283K004",1798,"2283K004",1,Oct-2024
400,SHAH MEDICAL STORE,PR201007995,"01-10-2024","400_10416_H24039",10416,H24039,1,Oct-2024
417,VPD MEDI INDIA PRIVATE LIMITED,PR201007999,"01-10-2024","417_15982_BRVTA3010A",15982,BRVTA3010A,2,Oct-2024
424,MONO PHARMACARE LIMITED,PR201007998,"01-10-2024","424_8595_833K014",8595,"833K014",3,Oct-2024
345,HARIKRUPA CHEMIST,PR201008016,"02-10-2024","345_17805_A206",17805,A206,1,Oct-2024
345,HARIKRUPA CHEMIST,PR201008012,"02-10-2024","345_18689_702302",18689,"702302",2,Oct-2024
345,HARIKRUPA CHEMIST,PR201008012,"02-10-2024","345_3106_11D241",3106,"11D241",1,Oct-2024
370,K B SHAH AND CO,PR201008008,"02-10-2024","370_19127_TLRS0037",19127,TLRS0037,1,Oct-2024
370,K B SHAH AND CO,PR201008020,"02-10-2024","370_4950_E7AHV028",4950,E7AHV028,1,Oct-2024
370,K B SHAH AND CO,PR201008019,"02-10-2024","370_7326_722300332",7326,"722300332",1,Oct-2024
371,K.CHIMANLAL  CO,PR201008010,"02-10-2024","371_3329_EL812",3329,EL812,1,Oct-2024
375,MAHENDRA MEDICINES,PR201008009,"02-10-2024","375_14855_HM9793",14855,HM9793,1,Oct-2024
378,MAHESH MEDICAL STORES,PR201008018,"02-10-2024","378_3099_GKF0889A",3099,GKF0889A,1,Oct-2024
378,MAHESH MEDICAL STORES,PR201008018,"02-10-2024","378_6999_JME0020A",6999,JME0020A,1,Oct-2024
386,PARAS DISTRIBUTORS,PR201008014,"02-10-2024","386_9845_N23378",9845,N23378,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008015,"02-10-2024","399_20087_MT242197",20087,MT242197,1,Oct-2024
401,SHARDA MEDICAL AGENCY (E),PR201008021,"02-10-2024","401_14454_1240356",14454,"1240356",1,Oct-2024
407,SHRIJI PHARMA,PR201008013,"02-10-2024","407_12920_607CPAP4",12920,"607CPAP4",2,Oct-2024
407,SHRIJI PHARMA,PR201008013,"02-10-2024","407_13134_TN240502",13134,TN240502,1,Oct-2024
417,VPD MEDI INDIA PRIVATE LIMITED,PR201008011,"02-10-2024","417_11645_4SN0132",11645,"4SN0132",1,Oct-2024
358,B K DISTRIBUTORS,PR201008955,"02-12-2024","358_19270_HTK0161",19270,HTK0161,2,Dec-2024
370,K B SHAH AND CO,PR201008950,"02-12-2024","370_2230_B4NA172",2230,B4NA172,3,Dec-2024
371,K.CHIMANLAL  CO,PR201008945,"02-12-2024","371_23446_HCF040523",23446,HCF040523,5,Dec-2024
375,MAHENDRA MEDICINES,PR201008946,"02-12-2024","375_26839_D240506",26839,D240506,13,Dec-2024
378,MAHESH MEDICAL STORES,PR201008949,"02-12-2024","378_5611_DT3924E",5611,DT3924E,18,Dec-2024
388,PHARMA DISTRIBUTOR,PR201008953,"02-12-2024","388_13311_240810670",13311,"240810670",100,Dec-2024
388,PHARMA DISTRIBUTOR,PR201008944,"02-12-2024","388_18705_M230420",18705,M230420,3,Dec-2024
399,SHAH KOTHARI BROS,PR201008954,"02-12-2024","399_16463_4M50557",16463,"4M50557",10,Dec-2024
401,SHARDA MEDICAL AGENCY (E),PR201008947,"02-12-2024","401_718_GT18003",718,GT18003,1,Dec-2024
404,SHRIJI DISTRIBUTORS,PR201008952,"02-12-2024","404_13282_C5CIX001",13282,C5CIX001,3,Dec-2024
404,SHRIJI DISTRIBUTORS,PR201008948,"02-12-2024","404_7617_BP301",7617,BP301,1,Dec-2024
407,SHRIJI PHARMA,PR201008951,"02-12-2024","407_11317_CR24037",11317,CR24037,6,Dec-2024
322,AHMEDABAD MEDICAL CORPORATION,PR201008027,"03-10-2024","322_1473_GKF0018A",1473,GKF0018A,1,Oct-2024
370,K B SHAH AND CO,PR201008022,"03-10-2024","370_5632_AGIV24002",5632,AGIV24002,1,Oct-2024
370,K B SHAH AND CO,PR201008094,"03-10-2024","370_6089_HRTPC0124",6089,HRTPC0124,2,Oct-2024
371,K.CHIMANLAL  CO,PR201008026,"03-10-2024","371_10878_MSG24011",10878,MSG24011,2,Oct-2024
371,K.CHIMANLAL  CO,PR201008026,"03-10-2024","371_13787_12T24006",13787,"12T24006",3,Oct-2024
371,K.CHIMANLAL  CO,PR201008028,"03-10-2024","371_19010_FLA4F3",19010,FLA4F3,2,Oct-2024
371,K.CHIMANLAL  CO,PR201008028,"03-10-2024","371_3329_EL812",3329,EL812,1,Oct-2024
388,PHARMA DISTRIBUTOR,PR201008023,"03-10-2024","388_23625_001E23QS",23625,"001E23QS",1,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_10106_PST23043",10106,PST23043,11,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_10303_PR240202",10303,PR240202,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_11536_GKF0480A",11536,GKF0480A,5,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_12185_SC3013",12185,SC3013,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_12185_SC3016",12185,SC3016,7,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_12228_SBL2210",12228,SBL2210,2,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_1247_K2300858",1247,K2300858,5,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_12836_L1523559",12836,L1523559,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_12836_L1524018",12836,L1524018,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_12963_U302895",12963,U302895,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_12963_UA00247",12963,UA00247,2,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_13592_GTE0932A",13592,GTE0932A,14,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_13718_GTF0534A",13718,GTF0534A,7,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_13826_JKGP23012",13826,JKGP23012,3,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_14281_N2400382",14281,N2400382,7,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_14756_TUA80",14756,TUA80,2,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_15037_OD34K019",15037,OD34K019,3,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_15815_A23152SU",15815,A23152SU,8,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_15916_TL23048",15916,TL23048,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_16614_2LN9K002",16614,"2LN9K002",2,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_17149_S24109402C",17149,S24109402C,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_18610_23I1834",18610,"23I1834",1,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_18857_BSSL23005",18857,BSSL23005,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_19432_AA035",19432,AA035,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_19765_OND23249SR",19765,OND23249SR,5,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_19818_AGMN23001",19818,AGMN23001,2,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_19818_GGMN22002",19818,GGMN22002,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_20094_SXE2196A",20094,SXE2196A,2,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_20150_EMV240232A",20150,EMV240232A,7,Oct-2024
399,SHAH KOTHARI BROS,PR201008029,"03-10-2024","399_20174_GATV23003",20174,GATV23003,2,Oct-2024
399,SHAH KOTHARI BROS,PR201008030,"03-10-2024","399_20214_K2301222",20214,K2301222,1,Oct-2024
399,SHAH KOTHARI BROS,PR201008031,"03-10-2024","399_20225_KPN2309A",20225,KPN2309A,1,Oct-2024
